TIC ID	ExoFOP-TESS	Sectors	Epoch	Period	Duration	Depth	Depth	Rtranister	Rstar	Tmag	Delta Tmag	Group Disposition	Reason for Group Disposition	Group Comments	Disposition (VK)	Comments (VK)	Disposition (LC)	Comments (LC)	Disposition (HDL)	Comments (HDL)	Disposition (MZDF)	Comments (MZDF)	Disposition (Julien)	Comments (Julien)	Disposition (JY)	Comments (JY)	Disposition (AF)	Comments (AF)	Disposition(MAC)	Comments(MAC)	Disposition(RI)	Comments(RI)	Disposition(FG)	Comments(FG)	Disposition(MH)	Comments(MH)
14344979	https://exofop.ipac.caltech.edu/tess/target.php?id=14344979	9	2458548.629	4.11265	1.76	20940	2.09	1.21	0.92	12.3353	4.20				PC	pVshape	PC				CP	WASP-183 b			PC								CP	WASP-183 b	CP	TD,WASP-183 b 
14614418	https://exofop.ipac.caltech.edu/tess/target.php?id=14614418	10	2458569.539	0.837778	1.95	23478	2.35	1.40	1.02	13.3898	4.07				PC	short-P	CP	HATS-18-b			CP	HATS-18 b			PC	FSOP							CP	HATS-18b		
14661418	https://exofop.ipac.caltech.edu/tess/target.php?id=14661418	10	2458570.99	4.723155	2.27	22873	2.29	0.98	0.69	12.4806	4.10				PC	pVshape	CP	HATS-22-b			CP	HATS-22 b			PC								CP	HATS-22b		
15247229	https://exofop.ipac.caltech.edu/tess/target.php?id=15247229	14	2458687.193	8.5112	3.49	4173	0.42	0.00	0.00	9.886581	5.95				FP	CO, LowSNR	FP	CO,Vshape,pSS			pFP	FSCP, LCMOD, Vshape			FP	FSCP, CO							FP	Vshape,Low SNR(FFI),FSCP,CO	FP	FSCP, Vshape, low SNR
15445551	https://exofop.ipac.caltech.edu/tess/target.php?id=15445551	10	2458569.667	1.68281	3.02	8618	0.86	1.44	1.67	10.349	5.16				PC		CP	WASP-87-b			CP	WASP-87 b			PC	FSCP							CP	WASP-87 b		
15565627	https://exofop.ipac.caltech.edu/tess/target.php?id=15565627	14,15	2458684.061	3.80509	3.35	1280	0.13	0.76	2.35	10.3332	7.23				pFP	NT	FP	NT			pFP	Low SNR, LCMOD for every sector			pFP	FSCP, CO, Low SNR							FP	NT, run 2 min	FP	NT
15692883	https://exofop.ipac.caltech.edu/tess/target.php?id=15692883	17	2458764.856	5.14124	5.41	3710	0.37	1.61	2.90	9.7116	6.08				PC			pOED, run 2min			CP	WASP-187 b			pFP	pOED							CP	WASP-187 b	CP	OED,WASP-187 b 
15863518	https://exofop.ipac.caltech.edu/tess/target.php?id=15863518	20	2458842.712	0.557201	0.80	1282	0.13	0.42	0.95	10.618	7.23				PC	FFI bad, Vshape, short-P	PC	low SNR, Vshape			PC	2 mins: Vshape; FFI: Fla, Heavy LCMOD			PC	FSOP							PC	pVshape,FSCP	pFP	LCMOD
16102323	https://exofop.ipac.caltech.edu/tess/target.php?id=16102323	14	2458686.76	3.20806	2.18	8629	0.86	0.00	0.00	9.329701	5.16				PC	poor fit		FFI bad, CO, run 2min			pFP	FSCP, Low SNR, pSS			FP	FSCP, pVshape, OED, LCMOD								Vshape,CO, run 2 min	pFP	FSCP, Vshape
16288184	https://exofop.ipac.caltech.edu/tess/target.php?id=16288184	12	2458626.801	2.180764	2.94	18116	1.81	1.88	1.53	11.0657	4.35				PC		CP	K2-237 b			CP	K2-237 b			PC	FSCP							CP	K2-237 b	CP	pTD,K2-237 b 
16740101	https://exofop.ipac.caltech.edu/tess/target.php?id=16740101	14,15	2458683.445	1.48112	3.85	7182	0.72	1.80	2.29	7.58204	5.36	KELT-9b	secondary is planetary occultation		FP	SS	CP	KELT 9-b			CP	KELT-9 b			PC	Occ							CP	KELT-9 b	CP	KELT-9 b
16884216	https://exofop.ipac.caltech.edu/tess/target.php?id=16884216	24	2458964.129	11.190049	2.97	568	0.06	0.15	0.70	8.5049	8.11				PC	FFI bad	PC	FFI bad			PC (SPR) 	FFI: Low SNR; 2min: Looks great			PC	SPR							PC		FP	NT
16920150	https://exofop.ipac.caltech.edu/tess/target.php?id=16920150	17	2458765.546	9.155934	3.14	908	0.09	0.22	0.82	10.1583	7.60				PC	FFI bad	PC	FFI bad			pFP	FFI: Low SNR; 2min: Vshape			PC	FSOP							PC	FSCP	FP	NT
17005768	https://exofop.ipac.caltech.edu/tess/target.php?id=17005768	17	2458765.265	6.84265	3.35	8120	0.81	1.53	1.13	9.9176	5.23				PC	pVshape	PC	FSCP,pVshape			pFP	Vshape, pSS, pEB			pFP	pVshape, pSS, LCMOD							PC	pVshape	PC	Vshape
17416749	https://exofop.ipac.caltech.edu/tess/target.php?id=17416749	25	2458956.569	2.34483	1.42	370	0.04	0.38	2.13	8.63532	8.58				pFP	NT	?	NT, FFI bad, run 2min			FP	FSCP, Low SNR			FP	CO, OED, FSCP, LowSNR								NT, run 2 min	FP	NT
17746821	https://exofop.ipac.caltech.edu/tess/target.php?id=17746821	7	2458493.169	3.122001	3.81	6754	0.68	1.35	1.70	11.3155	5.43				PC		CP	HAT-P-50 b			CP	HAT-P-50 b			PC	FSCP							CP	HAT-P-50 b	CP	HAT-P-50 b 
17993892	https://exofop.ipac.caltech.edu/tess/target.php?id=17993892	22	2458902.304	4.124426	3.83	9219	0.92	1.13	1.26	11.1065	5.09				PC		CP	HAT-P-21 b			CP	HAT-P-21 b			PC	FSOP							CP	HAT-P-21b	CP	HAT-P-21 b 
19025965	https://exofop.ipac.caltech.edu/tess/target.php?id=19025965	7	2458493.318	5.947773	2.12	2997	0.30	0.34	0.72	11.4479	6.31				PC		PC	FSCP?			PC in 2min, FP in FFI				PC	FSCP, pVshape, FSOP							PC	FSCP	PC	OED
19451711	https://exofop.ipac.caltech.edu/tess/target.php?id=19451711	7	2458491.705	0.397554	1.71	107	0.01	0.18	1.90	7.3645	9.92				FP	LCMOD, NT	PC	Vshape, pCO,P-short			FP	LCMOD, Very silly curve, SP			pFP	pOED, pVshape, FSOP							pFP	Vshape,low SNR,FSCP	pFP	short-p
19519368	https://exofop.ipac.caltech.edu/tess/target.php?id=19519368	7	2458493.296	1.701876	1.84	447	0.04	0.21	1.10	10.0854	8.37				PC	LowSNR	PC				PC	FSCP, HPMS, FFI: Low SNR, Vshape, CO; 2min: messy lightcurve in vetting report, good in Modshift			PC	FSCP							PC	FSCP,HPMS	pFP	FSCP
19684256	https://exofop.ipac.caltech.edu/tess/target.php?id=19684256	8,9	2458518.445	1.36672	1.99	20810	2.08	1.35	1.02	13.1758	4.20				PC		PC				CP	HATS-52 b, FSCP, pVshape			PC	FSCP									CP	PTD, HATS-52 b
20178111	https://exofop.ipac.caltech.edu/tess/target.php?id=20178111	6	2458468.622	1.734422	2.18	1813	0.18	0.46	0.98	10.2767	6.85				pFP	pCO, pVshape	pFP	CO,pSS,FSCP			PC	FSCP; FFI: LCMOD, Low SNR, CO; 2min: Looks Ok			pFP	FSCP, pSS, pUC									pFP	Low SNR, FSCP
20182165	https://exofop.ipac.caltech.edu/tess/target.php?id=20182165	23	2458936.907	9.781642	3.27	18192	1.82	1.48	1.21	7.0166	4.35				PC		pFP	pTD, LCMOD, SS			pFP	pTD, pEB; FFI: LCMOD, pTD; 2min: LCMOD, pTD			PC	LCMOD									pFP	OED, PTD
20318757	https://exofop.ipac.caltech.edu/tess/target.php?id=20318757	9	2458547.164	3.28627	1.82	1480	0.15	0.27	0.68	10.2103	7.07				PC	lowSNR		WE, run-2min			pFP	LCMOD, MD, Low SNR			pFP	LCMOD, OED, FSOP									pFP	OED
20892672	https://exofop.ipac.caltech.edu/tess/target.php?id=20892672	2	2458356.501	3.10926	2.51	5449	0.54	0.85	1.18	13.105	5.66				PC		pFP	LCMOD, run-2min			PC	FSCP			FP	FSCP, OED									pFP	V-shape, OED, FSCP
21535395	https://exofop.ipac.caltech.edu/tess/target.php?id=21535395	21	2458871.489	2.800991	1.50	205	0.02	0.13	0.95	7.6586	9.22				PC	lowSNR	PC	UC, SPR			PC (SPR) 	Rather Low SNR in both FFI and 2min			PC	SPR							PC			
21744120	https://exofop.ipac.caltech.edu/tess/target.php?id=21744120	25	2458983.745	5.508043	2.62	21262	2.13	0.95	0.74	11.733	4.18				PC		CP	HAT-P-18 b			CP	HAT-P-18 b, slightly Vshaped in FFI			PC										CP	pTD,HAT-P-18 b
21755546	https://exofop.ipac.caltech.edu/tess/target.php?id=21755546	14	2458684.131	0.65957	1.55	773	0.08	0.00	0.00	8.40386	7.78				pFP	NT, LCMOD	FP	LCMOD, CO			FP	NT, Low SNR, Variability			pFP	FSCP, LowSNR, UC									FP	Low SNR, FSCP
21832928	https://exofop.ipac.caltech.edu/tess/target.php?id=21832928	25	2458987.268	16.334513	4.66	298	0.03	0.18	1.13	6.6813	8.81				PC	lowSNR	PC	SPR			PC (SPR) 	FSCP, FFI: Low SNR, Variability; 2min: Ok			PC	FSCP, SPR									PC	Low SNR, OED, SPR
22221375	https://exofop.ipac.caltech.edu/tess/target.php?id=22221375	9	2458543.255	3.984627	2.40	390	0.04	0.18	1.02	7.3635	8.52				PC	UC	CP	HD 86226 c,HD 86226 d			2 CP	HD 86226 c, HD 86226 b			PC	FSOP									CP	HD 86226 c, HD 86226 b 
22529346	https://exofop.ipac.caltech.edu/tess/target.php?id=22529346	7	2458491.999	1.274931	2.92	17387	1.74	1.76	1.46	10.056	4.40	PC	SS is occultation		PC	pOcc	CP	WASP-121 b			CP	WASP-121 b			PC	pOcculation, ShortP, FSOP									CP	WASP-121 b,pTD,Short-P
22705558	https://exofop.ipac.caltech.edu/tess/target.php?id=22705558	20	2458842.997	4.54856	2.45	1150	0.12	0.31	1.04	10.8756	7.35				PC	Poor fit		WE, run-2min			pFP	FSCP, LCMOD, Fla, Low SNR			FP	FSCP, OED, CO									pFP	FSCP,OED
22843856	https://exofop.ipac.caltech.edu/tess/target.php?id=22843856	18	2458790.98	1.849754	2.15	6568	0.66	1.33	1.24	9.8203	5.46				PC	pVshape	PC				pFP	FFI: Vshape, Low SNR, LCMOD; 2min: Vshape			PC	LCMOD, FSOP									pFP	OED
